ip,prefix,provider,asn,asn_name,source_date,score_prehire,tier_prehire,score_posthire,tier_posthire,first_seen,last_seen,active
146.70.184.2,,mullvad,AS9009,"M247 - M247 Europe SRL, RO",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
146.70.184.130,,mullvad,AS9009,"M247 - M247 Europe SRL, RO",2026-08-06,8,contextual,8,contextual,2026-07-31,2026-08-06,true
185.244.213.2,,mullvad,AS9009,"M247 - M247 Europe SRL, RO",2026-08-06,8,contextual,8,contextual,2026-06-16,2026-08-06,true
95.173.222.2,,mullvad,AS212238,"CDNEXT - Datacamp Limited, GB",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
95.173.222.31,,mullvad,AS212238,"CDNEXT - Datacamp Limited, GB",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
185.201.188.3,,mullvad,AS203020,"HostRoyale - HostRoyale Technologies Pvt Ltd, IN",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
185.201.188.33,,mullvad,AS203020,"HostRoyale - HostRoyale Technologies Pvt Ltd, IN",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
141.98.252.66,,mullvad,AS39351,"ESAB-AS - 31173 Services AB, SE",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
141.98.252.130,,mullvad,AS39351,"ESAB-AS - 31173 Services AB, SE",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
141.98.252.222,,mullvad,AS39351,"ESAB-AS - 31173 Services AB, SE",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
185.195.232.66,,mullvad,AS39351,"ESAB-AS - 31173 Services AB, SE",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
185.195.232.67,,mullvad,AS39351,"ESAB-AS - 31173 Services AB, SE",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
185.195.232.68,,mullvad,AS39351,"ESAB-AS - 31173 Services AB, SE",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
185.195.232.69,,mullvad,AS39351,"ESAB-AS - 31173 Services AB, SE",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
185.195.232.70,,mullvad,AS39351,"ESAB-AS - 31173 Services AB, SE",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
141.98.252.138,,mullvad,AS39351,"ESAB-AS - 31173 Services AB, SE",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
185.248.85.3,,mullvad,AS43357,"OWL - Owl Limited, VU",2026-08-06,8,contextual,8,contextual,2026-06-01,2026-08-06,true
185.248.85.18,,mullvad,AS43357,"OWL - Owl Limited, VU",2026-08-06,8,contextual,8,contextual,2026-06-01,2026-08-06,true
185.248.85.33,,mullvad,AS43357,"OWL - Owl Limited, VU",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
