ip,source,asn,kvm_detected,kvm_products,rmm_detected,rmm_products,exposure_evidence,checked_date
147.79.120.173,dea_domains_probed.csv,AS47583,False,,False,,,2026-08-25
148.135.128.230,dea_domains_probed.csv,AS47583,False,,False,,,2026-08-25
148.135.128.235,dea_domains_probed.csv,AS47583,False,,False,,,2026-08-25
149.28.121.93,dea_domains_probed.csv,AS20473,False,,False,,,2026-08-25
149.97.150.179,dea_domains_probed.csv,AS15830,False,,False,,,2026-08-25
15.197.142.173,dea_domains_probed.csv,AS16509,False,,False,,,2026-08-25
15.197.162.184,dea_domains_probed.csv,AS16509,False,,False,,,2026-08-25
15.197.204.56,dea_domains_probed.csv,AS16509,False,,False,,,2026-08-25
15.197.225.128,dea_domains_probed.csv,AS16509,False,,False,,,2026-08-25
15.204.230.53,dea_domains_probed.csv,AS16276,False,,False,,,2026-08-25
150.136.172.131,known_campaign_ips.txt,AS31898,False,,False,,,2026-08-23
150.95.255.38,dea_domains_probed.csv,AS7506,False,,False,,,2026-08-25
151.101.1.195,dea_domains_probed.csv,AS54113,False,,False,,,2026-08-25
151.101.1.205,dea_domains_probed.csv,AS54113,False,,False,,,2026-08-25
151.246.1.105,dea_domains_probed.csv,AS58224,False,,False,,,2026-08-25
152.67.230.20,known_campaign_ips.txt,AS31898,False,,False,,,2026-08-23
153.122.26.49,dea_domains_probed.csv,AS131921,False,,False,,,2026-08-25
