domain,fp_id,fp_name,confidence,flame_tp_ids,evidence
536.com,FP-0007,Typosquat Evasion Infrastructure,65,TP-0012,dnstwist_match=True
537.com,FP-0007,Typosquat Evasion Infrastructure,65,TP-0012,dnstwist_match=True
538.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
539.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
53a.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
53b.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
53c.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
53com.com,FP-0007,Typosquat Evasion Infrastructure,65,TP-0012,dnstwist_match=True
53d.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
53e.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
53f.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
53g.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
53h.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
53i.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
53j.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
53k.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
53l.com,FP-0007,Typosquat Evasion Infrastructure,65,TP-0012,dnstwist_match=True
53m.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
53n.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
53o.com,FP-0007,Typosquat Evasion Infrastructure,75,TP-0012,dnstwist_match=True
53p.com,FP-0007,Typosquat Evasion Infrastructure,65,TP-0012,dnstwist_match=True
53q.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
53r.com,FP-0007,Typosquat Evasion Infrastructure,65,TP-0012,dnstwist_match=True
53s.com,FP-0007,Typosquat Evasion Infrastructure,65,TP-0012,dnstwist_match=True
53t.com,FP-0007,Typosquat Evasion Infrastructure,80,TP-0012,dnstwist_match=True
53u.com,FP-0007,Typosquat Evasion Infrastructure,75,TP-0012,dnstwist_match=True
53v.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
53w.com,FP-0007,Typosquat Evasion Infrastructure,80,TP-0012,dnstwist_match=True
53x.com,FP-0007,Typosquat Evasion Infrastructure,80,TP-0012,dnstwist_match=True
53x.com,FP-0011,IP-KVM / Remote-Management Exposure,15,,rmm_detected=yes
53y.com,FP-0007,Typosquat Evasion Infrastructure,80,TP-0012,dnstwist_match=True
53z.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
54.com,FP-0007,Typosquat Evasion Infrastructure,80,TP-0012,dnstwist_match=True
543.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
549827.com,FP-0011,IP-KVM / Remote-Management Exposure,60,,rmm_detected=yes
553.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
555ja.com,FP-0008,pickelhost/eye-mail ULA SPF Phishing Platform,90,TP-0001,primary_mx~eye-mail.net
563.com,FP-0007,Typosquat Evasion Infrastructure,85,TP-0012,dnstwist_match=True
568732.ws,FP-0008,pickelhost/eye-mail ULA SPF Phishing Platform,75,TP-0001,primary_mx~hope-mail.com
5688.win,FP-0008,pickelhost/eye-mail ULA SPF Phishing Platform,90,TP-0001,primary_mx~eye-mail.net
57.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
57gamil.co.com,FP-0009,IPIDEA Residential Proxy Network Infrastructure,80,,proxy_detected=yes
57gamil.co.com,FP-0010,Doppelganger / KadNap Residential Proxy Infrastructure,75,,proxy_detected=yes
58.com,FP-0007,Typosquat Evasion Infrastructure,85,TP-0012,dnstwist_match=True
