ASN,Name,Country,Source_List,Is_High_Value_Target,Target_Type
AS17858,"POWERVIS-AS-KR LG POWERCOMM, KR",KR,Unknown,False,
AS17881,"INETHOSTING-AS-KR Inet Hosting, Inc., KR",KR,Unknown,False,
AS17918,"AC3-AS-AP ac3, Australian Centre for Advanced Computing and Communications, AU",AU,Unknown,False,
AS17920,,,Unknown,False,
AS17931,"NETFOREST Netforest,Inc., JP",JP,Unknown,False,
AS17971,"TTSSB-MY TM TECHNOLOGY SERVICES SDN. BHD., MY",MY,Unknown,False,
AS18106,"VIEWQWEST-SG-AP Viewqwest Pte Ltd, SG",SG,Unknown,False,
AS18120,"GEMINI-AS-IN Gemini Software Solutions P Ltd. Hosting Services, India, IN",IN,Unknown,False,
AS1835,"FSKNET-DK Forskningsnettet - Danish network for Research and Education, EU",EU,Unknown,False,
AS18450,"WEBNX - WebNX, Inc., US",US,Unknown,False,
AS18460,"FHSU - Fort Hays State University, US",US,Unknown,False,
AS18570,"ECHOSTAR-BROADCASTING-CORPORATION - EchoStar Broadcasting Corperation, US",US,Unknown,False,
AS18779,"EGIHOSTING - EGIHosting, US",US,Unknown,False,
AS18978,"ENZUINC-US - Enzu Inc, US",US,Unknown,False,
AS1904,"DNIC-AS-01904 - United States Department of Defense DoD, US",US,Unknown,False,
AS19045,"DIRECTCOM - Direct Communications Cedar Valley, LLC, US",US,Unknown,False,
AS19084,"COLOUP - ColoUp, US",US,Unknown,False,
AS19108,"SUDDENLINK-COMMUNICATIONS - Optimum, US",US,Unknown,False,
AS19133,"BIRD-HOSTING - Bird Hosting Inc., US",US,Unknown,False,
AS19148,"LEASEWEB-USA-PHX - Leaseweb USA, Inc., US",US,Unknown,False,
AS1916,"Rede Nacional de Ensino e Pesquisa, BR",BR,Unknown,False,
AS19165,"WEBPASS - Webpass Inc., US",US,Unknown,False,
AS19201,"ETC - Eastex Telephone Cooperative, Inc., US",US,Unknown,False,
AS19234,"PIVOTREE-AS - PIVOTREE INC., CA",CA,Unknown,False,
AS19318,"IS-AS-1 - Interserver, Inc, US",US,Unknown,False,
AS19437,"SS-ASH - SECURED SERVERS LLC, US",US,Unknown,False,
AS19504,"WTCC - WTC Communications, Inc., US",US,Unknown,False,
AS19531,"NODESDIRECT - Nodes Direct, US",US,Unknown,False,
AS19624,"SERVERROOM - Data Room, Inc, US",US,Unknown,False,
AS196645,"HOSTPRO-AS, UA",UA,Unknown,False,
AS196678,,,Unknown,False,
AS19668,"PRICEWATERHOUSECOOPERS-MSO - PriceWaterhouseCoopers, LLP, US",US,Unknown,False,
AS196682,"INVERTA-AS, SK",SK,Unknown,False,
AS196745,"DATACENTA-AS, GB",GB,Unknown,False,
AS196827,"CONSC1A, DK",DK,Unknown,False,
AS1970,"TAMUS-NET - Texas A&M University, US",US,Unknown,False,
AS19701,"YODLEE - Yodlee Inc., US",US,Unknown,False,
AS197019,"WEDOS, CZ",CZ,Unknown,False,
AS19707,"SETL-1-AS-00 - Summit Energy Tech LLC, US",US,Unknown,False,
AS197071,"ACTIVE-SERVERS active-servers.com, DE",DE,Unknown,False,
AS197155,"ARTNET, PL",PL,Unknown,False,
AS19722,"NFTA - Niagara Frontier Transportation Authority, US",US,Unknown,False,
AS197225,"AIRNET, LT",LT,Unknown,False,
AS197328,"ISTANBULDC1, GE",GE,Unknown,False,
AS197372,,,Unknown,False,
AS197395,"HOSTGHOST-AS, NL",NL,Unknown,False,
AS197422,"TETANEUTRAL-NET-AS, FR",FR,Unknown,False,
AS197439,"SYLON, CH",CH,Unknown,False,
AS1975,"PROQUEST-AS - PROQUEST LLC, US",US,Unknown,False,
AS19754,"FNL-33-19754 - The Fusion Network, LLC, US",US,Unknown,False,
AS197540,"NETCUP-AS netcup GmbH, DE",DE,Unknown,False,
AS197566,"ASOKNET, CZ",CZ,Unknown,False,
AS197648,"CL8ASN1, CY",CY,Unknown,False,
AS197706,"KEMINET A datacenter located in TiranaAlbania. Webhosting, Dedicated Servers, VPS, IPv4IPv6 leasing, AL",AL,Unknown,False,
AS197902,"HOSTNET, NL",NL,Unknown,False,
AS197914,"ECRITEL-FRANCE-DEFCON Ecritel France - DEFCON, FR",FR,Unknown,False,
AS197922,"TECHCREA-SOLUTIONS, FR",FR,Unknown,False,
AS198047,"UKWEB-EQX, DE",DE,Unknown,False,
AS19809,"ASNBLK-VTLA2 - NTT Global Networks Incorporated, US",US,Unknown,False,
AS198093,"DFRI-AS Foreningen for digitala fri- och rattigheter, SE",SE,Unknown,False,
AS198153,"DCSTD-SEIDOR AS SEIDOR DATACENTER SANTANDER, ES",ES,Unknown,False,
AS198156,"DEDISERV, PL",PL,Unknown,False,
AS19816,"NCSDATACOM - NCS DataCom, Inc., US",US,Unknown,False,
AS198161,"CZ-SUAS, CZ",CZ,Unknown,False,
AS198171,"WEBGLOBERS UPSTREAM connectivity , CZ",CZ,Unknown,False,
AS1982,"ASN-NWNEXUS - Northwest Nexus Inc., US",US,Unknown,False,
AS198225,"MDDSL-AS, DE",DE,Unknown,False,
AS198310,"OOO-MOLNIYA, RU",RU,Unknown,False,
AS198313,"SYSTEMHOST, GB",GB,Unknown,False,
AS198347,"GAME-HOSTING, SE",SE,Unknown,False,
AS198375,"DELUSION-NET, GB",GB,Unknown,False,
AS19838,"BLUE-WATER-NETWORKS - Blue Water Networks, US",US,Unknown,False,
